name='Wil'  id=8506206
name='Willisau'  id=8508295
name='Winterthur'  id=8506000
name='Wohlen'  id=8502213
name='Worb'  id=8507063
name='Yverdon-les-Bains'  id=8504200
name='Zofingen'  id=8502001
name='Zollikon'  id=8503100
name='Zug'  id=8502204
name='Zurich'  id=8503000
name='Zurzach'  id=8503594
